VTBB,VTBB_CTR,,,,,,,,,,,,
BKK1,,,,,,,,,,,,,
TEST,,,,,,,,,,,,,
0,0,600,,,,,,,,,,,
callsign,atype,adep,ades,ifl,rfl,cfl,squawk,spawntime,special,specialtime,route,,
NOK142,B738,VTBD,VTCC,F10,F360,F160,1543,4080,0,0,DE21R INTOS BD207 DISCO TANGO DUKEN BORNO SANAL RINKA MARNI UPDOS CC101 CC102 CC103 PUKAT RIGTA,F360,LVL
AIQ8439,A320,VTBD,VTCC,F10,F380,F160,3176,4200,0,0,DE21R INTOS BD207 DISCO TANGO DUKEN BORNO SANAL RINKA MARNI UPDOS CC101 CC102 CC103 PUKAT RIGTA,F380,LVL
AIQ3112,A320,VTBD,VTCC,F10,F370,F160,5271,4320,0,0,DE21R BD201 BD202 BD203 BAXUS SAMBA KASNI ASEKU NULBO MABKO VALSI ROBDA LOSDA OBLEX KASLA RISRO,F370,LVL
TLM218,B738,VTBD,VABB,F10,F360,F160,5271,4440,0,0,DE21R INTOS OBMAR PASTO TANEK SADUS RINDA,F360,LVL
ULA523,B738,VTBD,WMKK,F10,F370,F160,5004,4560,0,0,DE21R BD201 BD202 BD203 BAXUS SAMBA KIGOB PIDEL NOMEP RILVI TENUM PASVA EMPUR,F370,LVL
TLM518,B738,VTBD,VTCC,F10,F360,F160,2506,4680,0,0,DE21R INTOS BD207 DISCO TANGO DUKEN BORNO SANAL RINKA MARNI UPDOS CC101 CC102 CC103 PUKAT RIGTA,F360,LVL
AXM889,A320,VTBD,WMKK,F10,F360,F160,2017,4800,0,0,DE21R BD201 BD202 BD203 BAXUS SAMBA KIGOB PIDEL NOMEP RILVI TENUM PASVA EMPUR,F360,LVL
AIQ140,A320,VTBD,WMKK,F10,F380,F160,2017,4920,0,0,DE21R INTOS OBMAR PASTO TANEK LALIT LULDA,F380,LVL
AIQ170,A320,VTBD,WMKK,F10,F380,F160,2017,5040,0,0,DE21R INTOS OBMAR PASTO TANEK LALIT LULDA,F380,LVL
NOK530,B738,VTBD,VTSP,F10,F360,F160,3432,5160,0,0,DE21R INTOS BD207 OBMAR BD206 POTEP TUPKA SABIS VANKO BUXEL MENEX IKERA SAPUD LAMUL SAVSA STONE CIDER BARON CI27,F360,LVL
AIQ137,A320,VTBD,VOBL,F10,F360,F160,4727,5280,0,0,DE21R INTOS OBMAR PASTO TANEK LALIT LULDA,F360,LVL
AIQ3013,A320,VTBD,VOBL,F10,F380,F160,1361,5400,0,0,DE21R INTOS BD207 OBMAR BD206 POTEP TUPKA SABIS VANKO BUXEL MENEX IKERA SAPUD LAMUL SAVSA STONE CIDER BARON CI27,F380,LVL
AWQ253,A320,VTBD,WIII,F10,F390,F160,7567,5520,0,0,DE21R BD201 BD202 BD203 BAXUS SAMBA KIGOB PIDEL NOMEP RILVI TENUM PASVA EMPUR,F390,LVL
AIQ153,A320,VTBD,VOMM,F10,F380,F160,6727,5640,0,0,DE21R INTOS OBMAR PASTO TANEK LALIT LULDA,F380,LVL
APG288,A320,VTBD,RPLL,F10,F370,F160,2407,5760,0,0,DE21R BD201 BD202 BD203 MATLO MEZZO DUSBU ANREN OMURO ISVOD EPKAP,F370,LVL
AXM897,A320,VTBD,WMKK,F10,F370,F160,6501,5880,0,0,DE21R BD201 BD202 BD203 BAXUS SAMBA KIGOB PIDEL NOMEP RILVI TENUM PASVA EMPUR,F370,LVL
AIQ116,A320,VTBD,VOVZ,F10,F380,F160,5403,6000,0,0,DE21R INTOS OBMAR PASTO TANEK SADUS RINDA,F380,LVL
TLM902,B738,VTBD,ZGSZ,F10,F390,F160,5403,6120,0,0,DE21R BD201 BD202 BD203 MATLO BD204 BD205 ROBKA SELKA TOPER SANOT GRASO GUROK OKENA ENBIL,F390,LVL
AIQ3430,A320,VTCC,VTBD,F10,F350,F160,2237,6240,0,0,CC201 CC204 POVUT CC205 CC206 NUDMA PANTA KEXIL PAKMO NAKON DOGVA BD114 AROKA BD111,F350,LVL
NOK509,B738,VTSS,VTBD,F10,F350,F160,2237,6360,0,0,VEVAM MEPIG KIBAB SS213 DANDO DOXAS PIPMU PINUN SORTO DONSI GOKEX OLSEL UPVIL EMTIX HOTEL SABAI BD118 BD117 VASGO ESMAG BD116 NODEG DUGIX BD112 VARPI AROKA BD111,F350,LVL
AIQ399,A320,WADD,VTBD,F370,F370,F370,4605,6480,0,0,ENREP UPRON ODONO TIDAR TONIK ALUMO ALEMI SEHNA BD120 BD119 VASGO ESMAG BD116 NODEG DUGIX BD112 VARPI AROKA BD111,F370,LVL
AIQ350,A320,WSSS,VTBD,F350,F350,F350,5133,6600,0,0,LOSOB GUGIT ABTOK DUGON TONIK ALUMO ALEMI SEHNA BD120 BD119 VASGO ESMAG BD116 NODEG DUGIX BD112 VARPI AROKA BD111,F350,LVL
TLM793,B738,VTSF,VTBD,F10,F370,F130,5106,6720,0,0,ZUREZ TAWIT PINUN SORTO DONSI GOKEX OLSEL UPVIL EMTIX HOTEL SABAI BD118 BD117 VASGO ESMAG BD116 NODEG DUGIX BD112 VARPI AROKA BD111,F370,LVL
AIQ3259,A320,VTUK,VTBD,F10,F360,F130,6474,6840,0,0,ENPIR IPMAX LIPKU NEMTE UBLOD ENDUU BD115 OPERA DUDAT BD114 AROKA BD111,F360,LVL
AIQ505,A320,VHHH,VTBD,F360,F360,F360,3545,6960,0,0,VILAO ENBIL OKENA GUROK RAMEI UBLOD ENDUU BD115 OPERA DUDAT BD114 AROKA BD111,F360,LVL
TLM545,B738,VTCT,VTBD,F10,F350,F130,3704,7080,0,0,NODOV NITED UDIBO BENVI NIROP PEBLI PI101 NAKON DOGVA BD114 AROKA BD111,F350,LVL
AIQ3010,A320,VTSP,VTBD,F10,F350,F130,5563,7200,0,0,SP601 SP604 IGEVI ANDAX NOMEK MENEX EGUBO EMTIX HOTEL SABAI BD118 BD117 VASGO ESMAG BD116 NODEG DUGIX BD112 VARPI AROKA BD111,F350,LVL
